,0
Kumari Securities Pvt. Limited,1
Kumari Securities Pvt. Limited,1_RWS
Arun Securities Pvt. Limited,3
Opal Securities Investment Pvt. Limited,4
Market Securities Exchange Company Pvt. Limited,5
Agrawal Securities Pvt. Limited,6
Agrawal Securities Pvt. Limited,6_RWS
J.F. Securities Company Pvt. Limited,7
J.F. Securities Company Pvt. Limited,7_RWS
Ashutosh Brokerage & Securities Pvt. Limited,8
Pragyan Securities Pvt. Limited,10
Pragyan Securities Pvt. Limited,10_RWS
Malla & Malla Stock Broking Company Pvt. Limited,11
Thrive Brokerage House Pvt. Limited,13
Thrive Brokerage House Pvt. Limited,13_RWS
Nepal Stock House Pvt. Limited,14
Nepal Stock House Pvt. Limited,14_RWS
Primo Securities Pvt. Limited,16
ABC Securities Pvt. Limited,17
Sagarmatha Securities Pvt. Limited,18
Nepal Investment & Securities Trading Pvt. Limited,19
Nepal Investment & Securities Trading Pvt. Limited,19_RWS
Sipla Securities Pvt. Limited,20
Midas Stock Broking Company Pvt. Limited,21
Siprabi Securities Pvt. Limited,22
Siprabi Securities Pvt. Limited,22_RWS
Sweta Securities Pvt. Limited,25
Asian Securities Pvt. Limited,26
Shree Krishna Securities Limited,28
Trishul Securities And Investment Limited,29
Trishul Securities And Investment Limited,29_RWS
Premier Securites Company Limited,32
Premier Securites Company Limited,32_RWS
Dakshinkali Investment and Securities Pvt. Ltd.,33
Vision Securities Pvt. Ltd.,34
Kohinoor Investment and Securites Pvt. Ltd.,35
Secured Securities Ltd.,36
Swarnalaxmi Securities Pvt. Ltd.,37
Dipshikha Dhitopatra Karobar Co. Pvt. Ltd.,38
Sumeru Securities Pvt. Ltd.,39
Creative Securities Pvt. Ltd.,40
Linch Stock Market Ltd.,41
Sani Securities Co. Ltd.,42
South Asian Bulls Pvt. Ltd.,43
Dynamic Money Managers Securities Pvt. Ltd.,44
Imperial Securities Co. Pvt. Ltd.,45
Kalika Securities Pvt. Ltd.,46
Neev Securities Pvt. Ltd.,47
Trishakti Securities Public Limited,48
Online Securities Pvt. Ltd.,49
Crystal Kanchanjungha Securities Pvt. Ltd.,50
Oxford Securities Pvt. Ltd.,51
Sundhara Securities Ltd.,52
Sri Hari Securities Pvt. Ltd.,56
Investment Management Nepal Pvt. Ltd.,53
Sewa Securities Pvt. Ltd.,54
Bhrikuti Stock Broking Co. Pvt. Ltd.,55
Arya Tara Investment And Securities Pvt. Ltd.,57
Naasa Securities Co. Ltd.,58
Deevyaa Securities & Stock House Pvt. Ltd,59
