S.N,Contract_No,Stock_Symbol,Buyer_Broker,Seller_Broker,Quantity,Rate,Amount,Date
1,2019111701005825,SJCL,22,41,20,161,3220.00,2019-11-17 19:08:20.921623
2,2019111701005826,ILBS,1,29,60,469,28140.00,2019-11-17 19:08:20.921623
3,2019111701005827,ILBS,1,19,10,469,4690.00,2019-11-17 19:08:20.921623
4,2019111701005828,ILBS,1,50,50,469,23450.00,2019-11-17 19:08:20.921623
5,2019111701005829,ILBS,1,25,50,469,23450.00,2019-11-17 19:08:20.921623
6,2019111701005830,ILBS,1,26,140,470,65800.00,2019-11-17 19:08:20.921623
7,2019111701005831,NLIC,48,8,230,790,181700.00,2019-11-17 19:08:20.921623
8,2019111701005832,NLIC,40,8,10,789,7890.00,2019-11-17 19:08:20.921623
9,2019111701005833,NLIC,57,8,760,789,599640.00,2019-11-17 19:08:20.921623
10,2019111701005834,SCB,42,41,57,550,31350.00,2019-11-17 19:08:20.921623
11,2019111701005835,SCB,45,41,15,550,8250.00,2019-11-17 19:08:20.921623
12,2019111701005836,SCB,25,41,128,550,70400.00,2019-11-17 19:08:20.921623
13,2019111701005837,CCBL,52,54,10,161,1610.00,2019-11-17 19:08:20.921623
14,2019111701005838,NIB,51,28,24,422,10128.00,2019-11-17 19:08:20.921623
15,2019111701005839,NABIL,42,44,10,751,7510.00,2019-11-17 19:08:20.921623
16,2019111701005840,NABIL,8,44,42,751,31542.00,2019-11-17 19:08:20.921623
17,2019111701005841,PLIC,57,4,201,309,62109.00,2019-11-17 19:08:20.921623
18,2019111701005842,PLIC,57,4,101,309,31209.00,2019-11-17 19:08:20.921623
19,2019111701005843,PLIC,49,4,25,309,7725.00,2019-11-17 19:08:20.921623
20,2019111701005844,PLIC,45,4,60,309,18540.00,2019-11-17 19:08:20.921623
21,2019111701005845,PLIC,1,4,70,309,21630.00,2019-11-17 19:08:20.921623
22,2019111701005846,PLIC,28,4,43,309,13287.00,2019-11-17 19:08:20.921623
23,2019111701005847,NICA,50,38,377,416,156832.00,2019-11-17 19:08:20.921623
24,2019111701005848,NICA,22,38,200,416,83200.00,2019-11-17 19:08:20.921623
