S.N,Contract_No,Stock_Symbol,Buyer_Broker,Seller_Broker,Quantity,Rate,Amount,Date
1,2019112001005241,RHPL,55,19,30,164,4920.00,2019-11-21 10:51:37.719265
2,2019112001005242,HBL,25,8,10,490,4900.00,2019-11-21 10:51:37.719265
3,2019112001005243,NABIL,50,8,29,754,21866.00,2019-11-21 10:51:37.719265
4,2019112001005244,SCB,41,17,30,550,16500.00,2019-11-21 10:51:37.719265
5,2019112001005245,SANIMA,39,54,598,305,182390.00,2019-11-21 10:51:37.719265
6,2019112001005246,SANIMA,34,54,50,305,15250.00,2019-11-21 10:51:37.719265
7,2019112001005247,SANIMA,38,54,100,305,30500.00,2019-11-21 10:51:37.719265
8,2019112001005248,SANIMA,36,54,80,305,24400.00,2019-11-21 10:51:37.719265
9,2019112001005249,CCBL,59,33,300,163,48900.00,2019-11-21 10:51:37.719265
10,2019112001005250,PLIC,45,4,15,307,4605.00,2019-11-21 10:51:37.719265
11,2019112001005251,PLIC,45,4,385,307,118195.00,2019-11-21 10:51:37.719265
12,2019112001005252,SBI,49,34,29,391,11339.00,2019-11-21 10:51:37.719265
13,2019112001005253,HGI,34,34,190,243,46170.00,2019-11-21 10:51:37.719265
14,2019112001005254,CBBL,19,57,200,970,194000.00,2019-11-21 10:51:37.719265
15,2019112001005255,NGPL,43,51,155,109,16895.00,2019-11-21 10:51:37.719265
16,2019112001005256,NGPL,34,51,1000,109,109000.00,2019-11-21 10:51:37.719265
17,2019112001005257,NGPL,7,51,200,109,21800.00,2019-11-21 10:51:37.719265
18,2019112001005258,SLBBL,33,52,50,608,30400.00,2019-11-21 10:51:37.719265
19,2019112001005259,UMHL,45,43,66,102,6732.00,2019-11-21 10:51:37.719265
20,2019112001005260,NIBPO,25,51,10,389,3890.00,2019-11-21 10:51:37.719265
21,2019112001005261,SBI,49,43,200,391,78200.00,2019-11-21 10:51:37.719265
22,2019112001005262,SJCL,40,19,20,157,3140.00,2019-11-21 10:51:37.719265
23,2019112001005263,CBL,51,22,229,137,31373.00,2019-11-21 10:51:37.719265
24,2019112001005264,CBL,42,22,200,137,27400.00,2019-11-21 10:51:37.719265
25,2019112001005265,CBL,33,22,300,137,41100.00,2019-11-21 10:51:37.719265
26,2019112001005266,CBL,49,22,171,137,23427.00,2019-11-21 10:51:37.719265
27,2019112001005267,UPPER,45,22,300,227,68100.00,2019-11-21 10:51:37.719265
28,2019112001005268,VLBS,55,22,100,589,58900.00,2019-11-21 10:51:37.719265
29,2019112001005269,PFL,13,39,200,135,27000.00,2019-11-21 10:51:37.719265
30,2019112001005270,RSDC,37,41,100,284,28400.00,2019-11-21 10:51:37.719265
31,2019112001005271,RSDC,8,41,50,284,14200.00,2019-11-21 10:51:37.719265
32,2019112001005272,RSDC,17,41,50,284,14200.00,2019-11-21 10:51:37.719265
33,2019112001005273,RSDC,43,41,40,284,11360.00,2019-11-21 10:51:37.719265
34,2019112001005274,SABSL,57,13,29,547,15863.00,2019-11-21 10:51:37.719265
35,2019112001005275,PRVU,4,49,350,229,80150.00,2019-11-21 10:51:37.719265
36,2019112001005276,AKPL,10,38,191,116,22156.00,2019-11-21 10:51:37.719265
37,2019112001005277,AKPL,34,38,200,116,23200.00,2019-11-21 10:51:37.719265
38,2019112001005278,AKPL,8,38,200,116,23200.00,2019-11-21 10:51:37.719265
39,2019112001005279,AKPL,33,38,400,116,46400.00,2019-11-21 10:51:37.719265
40,2019112001005280,AKPL,1,38,1000,115,115000.00,2019-11-21 10:51:37.719265
41,2019112001005281,AKPL,21,38,640,115,73600.00,2019-11-21 10:51:37.719265
42,2019112001005282,AKPL,57,38,500,115,57500.00,2019-11-21 10:51:37.719265
43,2019112001005283,AKPL,25,38,200,115,23000.00,2019-11-21 10:51:37.719265
44,2019112001005284,AKPL,34,38,200,115,23000.00,2019-11-21 10:51:37.719265
45,2019112001005285,SANIMA,58,54,10,305,3050.00,2019-11-21 10:51:37.719265
46,2019112001005286,SANIMA,58,54,10,306,3060.00,2019-11-21 10:51:37.719265
47,2019112001005287,NBL,52,17,300,317,95100.00,2019-11-21 10:51:37.719265
48,2019112001005288,NBB,35,58,300,204,61200.00,2019-11-21 10:51:37.719265
49,2019112001005289,NLICL,38,56,30,424,12720.00,2019-11-21 10:51:37.719265
50,2019112001005290,SABSL,22,34,50,546,27300.00,2019-11-21 10:51:37.719265
51,2019112001005291,NABIL,11,58,100,753,75300.00,2019-11-21 10:51:37.719265
52,2019112001005292,NABIL,32,58,25,753,18825.00,2019-11-21 10:51:37.719265
53,2019112001005293,NABIL,28,58,150,753,112950.00,2019-11-21 10:51:37.719265
54,2019112001005294,NABIL,45,58,200,753,150600.00,2019-11-21 10:51:37.719265
55,2019112001005295,NABIL,44,58,100,753,75300.00,2019-11-21 10:51:37.719265
56,2019112001005296,NABIL,55,58,400,753,301200.00,2019-11-21 10:51:37.719265
57,2019112001005297,NABIL,32,58,100,753,75300.00,2019-11-21 10:51:37.719265
58,2019112001005298,NABIL,32,58,100,753,75300.00,2019-11-21 10:51:37.719265
59,2019112001005299,NABIL,58,58,80,752,60160.00,2019-11-21 10:51:37.719265
60,2019112001005300,NABIL,50,58,40,752,30080.00,2019-11-21 10:51:37.719265
61,2019112001005301,NABIL,28,58,100,752,75200.00,2019-11-21 10:51:37.719265
62,2019112001005302,NABIL,56,58,40,752,30080.00,2019-11-21 10:51:37.719265
63,2019112001005303,NABIL,41,58,1000,751,751000.00,2019-11-21 10:51:37.719265
64,2019112001005304,NABIL,21,58,10,751,7510.00,2019-11-21 10:51:37.719265
65,2019112001005305,NABIL,56,58,15,750,11250.00,2019-11-21 10:51:37.719265
