S.N,Contract_No,Stock_Symbol,Buyer_Broker,Seller_Broker,Quantity,Rate,Amount,Date
1,2019102101003360,PRVU,14,45,300,264,79200.00,2019-10-22 10:37:36.778753
2,2019102101003361,RBCL,37,40,10,8545,85450.00,2019-10-22 10:37:36.778753
3,2019102101003362,RBCL,37,52,10,8560,85600.00,2019-10-22 10:37:36.778753
4,2019102101003363,PRVU,52,45,300,264,79200.00,2019-10-22 10:37:36.778753
5,2019102101003364,SCB,34,35,40,542,21680.00,2019-10-22 10:37:36.778753
6,2019102101003365,SCB,26,35,20,542,10840.00,2019-10-22 10:37:36.778753
7,2019102101003366,SCB,36,35,50,542,27100.00,2019-10-22 10:37:36.778753
8,2019102101003367,SCB,34,35,10,541,5410.00,2019-10-22 10:37:36.778753
9,2019102101003368,SHIVM,28,6,1000,482,482000.00,2019-10-22 10:37:36.778753
10,2019102101003369,NCCB,33,48,50,199,9950.00,2019-10-22 10:37:36.778753
11,2019102101003370,PRVU,35,6,220,263,57860.00,2019-10-22 10:37:36.778753
12,2019102101003371,MLBL,4,56,1550,214,331700.00,2019-10-22 10:37:36.778753
13,2019102101003372,SICL,46,56,43,721,31003.00,2019-10-22 10:37:36.778753
14,2019102101003373,SINDU,34,46,63,121,7623.00,2019-10-22 10:37:36.778753
15,2019102101003374,AKBSL,14,41,20,412,8240.00,2019-10-22 10:37:36.778753
16,2019102101003375,AKBSL,14,46,10,415,4150.00,2019-10-22 10:37:36.778753
17,2019102101003376,AKBSL,14,28,10,415,4150.00,2019-10-22 10:37:36.778753
18,2019102101003377,AKBSL,14,32,10,415,4150.00,2019-10-22 10:37:36.778753
19,2019102101003378,AKBSL,14,42,10,415,4150.00,2019-10-22 10:37:36.778753
20,2019102101003379,AKBSL,14,57,50,415,20750.00,2019-10-22 10:37:36.778753
21,2019102101003380,AKBSL,14,32,10,415,4150.00,2019-10-22 10:37:36.778753
22,2019102101003381,MHNL,29,59,35,78,2730.00,2019-10-22 10:37:36.778753
23,2019102101003382,MEGA,43,37,282,194,54708.00,2019-10-22 10:37:36.778753
24,2019102101003383,MEGA,13,37,150,194,29100.00,2019-10-22 10:37:36.778753
25,2019102101003384,MERO,50,49,180,549,98820.00,2019-10-22 10:37:36.778753
26,2019102101003385,NIL,14,55,100,355,35500.00,2019-10-22 10:37:36.778753
27,2019102101003386,NIL,56,55,200,354,70800.00,2019-10-22 10:37:36.778753
28,2019102101003387,FOWAD,8,44,23,1271,29233.00,2019-10-22 10:37:36.778753
29,2019102101003388,CBBL,28,17,130,964,125320.00,2019-10-22 10:37:36.778753
30,2019102101003389,UPPER,44,34,350,236,82600.00,2019-10-22 10:37:36.778753
31,2019102101003390,MEGA,6,6,5,193,965.00,2019-10-22 10:37:36.778753
32,2019102101003391,SBI,6,3,40,403,16120.00,2019-10-22 10:37:36.778753
33,2019102101003392,PCBL,43,34,746,265,197690.00,2019-10-22 10:37:36.778753
34,2019102101003393,PCBL,52,34,36,265,9540.00,2019-10-22 10:37:36.778753
35,2019102101003394,PCBL,53,34,118,265,31270.00,2019-10-22 10:37:36.778753
36,2019102101003395,SCB,35,58,166,545,90470.00,2019-10-22 10:37:36.778753
37,2019102101003396,SCB,35,29,150,547,82050.00,2019-10-22 10:37:36.778753
38,2019102101003397,SCB,35,57,80,550,44000.00,2019-10-22 10:37:36.778753
39,2019102101003398,NBL,43,25,10,318,3180.00,2019-10-22 10:37:36.778753
40,2019102101003399,DBBL,29,7,970,125,121250.00,2019-10-22 10:37:36.778753
41,2019102101003400,SJCL,16,29,250,167,41750.00,2019-10-22 10:37:36.778753
42,2019102101003401,SHPC,16,1,10,196,1960.00,2019-10-22 10:37:36.778753
43,2019102101003402,BPCL,39,48,33,358,11814.00,2019-10-22 10:37:36.778753
44,2019102101003403,EBL,56,44,97,545,52865.00,2019-10-22 10:37:36.778753
45,2019102101003404,EBL,22,44,50,545,27250.00,2019-10-22 10:37:36.778753
46,2019102101003405,EBL,1,44,64,545,34880.00,2019-10-22 10:37:36.778753
47,2019102101003406,EBL,45,44,20,545,10900.00,2019-10-22 10:37:36.778753
48,2019102101003407,EBL,53,44,500,545,272500.00,2019-10-22 10:37:36.778753
49,2019102101003408,EBL,11,44,60,545,32700.00,2019-10-22 10:37:36.778753
50,2019102101003409,EBL,44,44,50,545,27250.00,2019-10-22 10:37:36.778753
51,2019102101003410,EBL,39,44,300,545,163500.00,2019-10-22 10:37:36.778753
52,2019102101003411,EBL,45,44,100,545,54500.00,2019-10-22 10:37:36.778753
53,2019102101003412,EBL,35,44,200,545,109000.00,2019-10-22 10:37:36.778753
54,2019102101003413,MERO,50,14,20,550,11000.00,2019-10-22 10:37:36.778753
