S.N,Contract_No,Stock_Symbol,Buyer_Broker,Seller_Broker,Quantity,Rate,Amount,Date
1,2019102401004303,UPPER,38,48,20,238,4760.00,2019-10-24 21:31:58.149799
2,2019102401004304,UPPER,41,48,30,238,7140.00,2019-10-24 21:31:58.149799
3,2019102401004305,NADEP,7,49,16,400,6400.00,2019-10-24 21:31:58.149799
4,2019102401004306,NADEP,39,49,20,400,8000.00,2019-10-24 21:31:58.149799
5,2019102401004307,SLICL,4,1,10,267,2670.00,2019-10-24 21:31:58.149799
6,2019102401004308,NICA,35,36,500,412,206000.00,2019-10-24 21:31:58.149799
7,2019102401004309,SHIVM,54,50,300,493,147900.00,2019-10-24 21:31:58.149799
8,2019102401004310,RHPL,59,44,40,178,7120.00,2019-10-24 21:31:58.149799
9,2019102401004311,GLICL,16,26,30,360,10800.00,2019-10-24 21:31:58.149799
10,2019102401004312,CBL,32,42,170,143,24310.00,2019-10-24 21:31:58.149799
11,2019102401004313,RHPL,54,6,30,179,5370.00,2019-10-24 21:31:58.149799
12,2019102401004314,RHPL,54,54,30,179,5370.00,2019-10-24 21:31:58.149799
13,2019102401004315,RHPL,54,40,150,179,26850.00,2019-10-24 21:31:58.149799
14,2019102401004316,RHPL,54,40,100,179,17900.00,2019-10-24 21:31:58.149799
15,2019102401004317,NICA,35,8,337,413,139181.00,2019-10-24 21:31:58.149799
16,2019102401004318,NICA,35,41,1500,413,619500.00,2019-10-24 21:31:58.149799
17,2019102401004319,NICA,35,28,500,413,206500.00,2019-10-24 21:31:58.149799
18,2019102401004320,NICA,35,41,500,413,206500.00,2019-10-24 21:31:58.149799
19,2019102401004321,NICA,35,33,250,413,103250.00,2019-10-24 21:31:58.149799
20,2019102401004322,NICA,35,22,100,413,41300.00,2019-10-24 21:31:58.149799
21,2019102401004323,FOWAD,16,33,20,1290,25800.00,2019-10-24 21:31:58.149799
22,2019102401004324,FOWAD,16,50,14,1290,18060.00,2019-10-24 21:31:58.149799
23,2019102401004325,NCCB,50,34,158,202,31916.00,2019-10-24 21:31:58.149799
24,2019102401004326,RBCLPO,59,59,10,7271,72710.00,2019-10-24 21:31:58.149799
25,2019102401004327,RBCLPO,39,59,19,7270,138130.00,2019-10-24 21:31:58.149799
26,2019102401004328,SIL,39,38,933,382,356406.00,2019-10-24 21:31:58.149799
27,2019102401004329,NCCB,33,25,20,203,4060.00,2019-10-24 21:31:58.149799
28,2019102401004330,RHPL,54,48,40,179,7160.00,2019-10-24 21:31:58.149799
29,2019102401004331,SRBL,6,35,200,213,42600.00,2019-10-24 21:31:58.149799
30,2019102401004332,NICA,35,8,812,412,334544.00,2019-10-24 21:31:58.149799
31,2019102401004333,NICA,42,8,188,412,77456.00,2019-10-24 21:31:58.149799
32,2019102401004334,NLIC,29,13,46,800,36800.00,2019-10-24 21:31:58.149799
