S.N,Contract_No,Stock_Symbol,Buyer_Broker,Seller_Broker,Quantity,Rate,Amount,Date
1,2019100201002742,SBI,19,44,17,408,6936.00,2019-10-02 16:32:25.951857
2,2019100201002743,SICL,21,58,19,712,13528.00,2019-10-02 16:32:25.951857
3,2019100201002744,SICL,28,58,30,711,21330.00,2019-10-02 16:32:25.951857
4,2019100201002745,SICL,52,58,20,710,14200.00,2019-10-02 16:32:25.951857
5,2019100201002746,SICL,56,58,50,710,35500.00,2019-10-02 16:32:25.951857
6,2019100201002747,SICL,42,58,20,710,14200.00,2019-10-02 16:32:25.951857
7,2019100201002748,SICL,32,58,50,710,35500.00,2019-10-02 16:32:25.951857
8,2019100201002749,SICL,41,58,20,710,14200.00,2019-10-02 16:32:25.951857
9,2019100201002750,SICL,8,58,21,708,14868.00,2019-10-02 16:32:25.951857
10,2019100201002751,SBL,11,57,302,331,99962.00,2019-10-02 16:32:25.951857
11,2019100201002752,SBL,59,57,500,331,165500.00,2019-10-02 16:32:25.951857
12,2019100201002753,SBL,44,57,198,331,65538.00,2019-10-02 16:32:25.951857
13,2019100201002754,SLBSL,54,38,10,675,6750.00,2019-10-02 16:32:25.951857
14,2019100201002755,RMDC,11,25,86,610,52460.00,2019-10-02 16:32:25.951857
15,2019100201002756,LGIL,35,37,78,346,26988.00,2019-10-02 16:32:25.951857
16,2019100201002757,LGIL,29,37,282,346,97572.00,2019-10-02 16:32:25.951857
17,2019100201002758,PRVU,46,45,100,262,26200.00,2019-10-02 16:32:25.951857
18,2019100201002759,BPCL,57,16,100,358,35800.00,2019-10-02 16:32:25.951857
19,2019100201002760,BPCL,41,16,159,357,56763.00,2019-10-02 16:32:25.951857
20,2019100201002761,BPCL,35,16,20,357,7140.00,2019-10-02 16:32:25.951857
21,2019100201002762,BPCL,38,16,100,357,35700.00,2019-10-02 16:32:25.951857
22,2019100201002763,BPCL,25,16,20,357,7140.00,2019-10-02 16:32:25.951857
23,2019100201002764,BPCL,16,16,100,356,35600.00,2019-10-02 16:32:25.951857
24,2019100201002765,BPCL,3,16,50,355,17750.00,2019-10-02 16:32:25.951857
25,2019100201002766,BPCL,58,16,50,355,17750.00,2019-10-02 16:32:25.951857
26,2019100201002767,BPCL,38,16,442,355,156910.00,2019-10-02 16:32:25.951857
27,2019100201002768,CZBIL,6,50,170,195,33150.00,2019-10-02 16:32:25.951857
28,2019100201002769,CZBIL,6,1,200,195,39000.00,2019-10-02 16:32:25.951857
29,2019100201002770,JFL,57,32,200,195,39000.00,2019-10-02 16:32:25.951857
30,2019100201002771,SLBBL,34,37,10,541,5410.00,2019-10-02 16:32:25.951857
31,2019100201002772,RHPL,43,17,30,158,4740.00,2019-10-02 16:32:25.951857
32,2019100201002773,PIC,8,6,10,373,3730.00,2019-10-02 16:32:25.951857
33,2019100201002774,EBL,56,44,390,572,223080.00,2019-10-02 16:32:25.951857
34,2019100201002775,CZBIL,6,25,130,196,25480.00,2019-10-02 16:32:25.951857
35,2019100201002776,SHIVM,10,14,40,509,20360.00,2019-10-02 16:32:25.951857
36,2019100201002777,SHIVM,32,14,60,509,30540.00,2019-10-02 16:32:25.951857
37,2019100201002778,HIDCL,32,57,209,135,28215.00,2019-10-02 16:32:25.951857
38,2019100201002779,GUFL,3,52,20,110,2200.00,2019-10-02 16:32:25.951857
39,2019100201002780,SHIVM,32,46,240,509,122160.00,2019-10-02 16:32:25.951857
40,2019100201002781,SHIVM,35,46,20,509,10180.00,2019-10-02 16:32:25.951857
41,2019100201002782,SHIVM,44,46,105,509,53445.00,2019-10-02 16:32:25.951857
42,2019100201002783,NIL,32,37,42,360,15120.00,2019-10-02 16:32:25.951857
43,2019100201002784,SJCL,46,17,20,167,3340.00,2019-10-02 16:32:25.951857
44,2019100201002785,SBI,19,57,133,408,54264.00,2019-10-02 16:32:25.951857
45,2019100201002786,SCB,42,16,17,571,9707.00,2019-10-02 16:32:25.951857
46,2019100201002787,SCB,46,16,50,571,28550.00,2019-10-02 16:32:25.951857
47,2019100201002788,SCB,5,16,60,571,34260.00,2019-10-02 16:32:25.951857
48,2019100201002789,GLICL,5,22,66,365,24090.00,2019-10-02 16:32:25.951857
49,2019100201002790,ALBSL,42,6,50,384,19200.00,2019-10-02 16:32:25.951857
50,2019100201002791,TRH,14,17,140,288,40320.00,2019-10-02 16:32:25.951857
51,2019100201002792,SJCL,10,35,10,169,1690.00,2019-10-02 16:32:25.951857
52,2019100201002793,HDL,26,58,50,1465,73250.00,2019-10-02 16:32:25.951857
53,2019100201002794,RHPC,49,34,31,83,2573.00,2019-10-02 16:32:25.951857
54,2019100201002795,BOKL,35,13,126,260,32760.00,2019-10-02 16:32:25.951857
55,2019100201002796,BOKL,13,13,100,260,26000.00,2019-10-02 16:32:25.951857
56,2019100201002797,BOKL,57,13,774,260,201240.00,2019-10-02 16:32:25.951857
57,2019100201002798,NICA,46,55,16,384,6144.00,2019-10-02 16:32:25.951857
58,2019100201002799,RHPL,43,17,30,158,4740.00,2019-10-02 16:32:25.951857
59,2019100201002800,NBL,33,45,244,314,76616.00,2019-10-02 16:32:25.951857
60,2019100201002801,NBL,33,28,16,315,5040.00,2019-10-02 16:32:25.951857
61,2019100201002802,PRVU,36,36,26,263,6838.00,2019-10-02 16:32:25.951857
62,2019100201002693,BOKL,48,6,1050,261,274050.00,2019-10-02 16:32:25.951857
63,2019100201002694,BOKL,48,52,47,261,12267.00,2019-10-02 16:32:25.951857
64,2019100201002695,BOKL,48,56,150,262,39300.00,2019-10-02 16:32:25.951857
65,2019100201002696,BOKL,48,51,303,262,79386.00,2019-10-02 16:32:25.951857
66,2019100201002697,DDBL,49,28,21,715,15015.00,2019-10-02 16:32:25.951857
67,2019100201002698,DDBL,49,28,3000,715,2145000.00,2019-10-02 16:32:25.951857
68,2019100201002699,RHPL,43,17,30,158,4740.00,2019-10-02 16:32:25.951857
69,2019100201002700,MEGA,49,36,200,193,38600.00,2019-10-02 16:32:25.951857
70,2019100201002701,SHIVM,51,57,40,509,20360.00,2019-10-02 16:32:25.951857
71,2019100201002702,SHIVM,10,57,60,509,30540.00,2019-10-02 16:32:25.951857
72,2019100201002703,RHPL,43,16,120,158,18960.00,2019-10-02 16:32:25.951857
