S.N,Contract_No,Stock_Symbol,Buyer_Broker,Seller_Broker,Quantity,Rate,Amount,Date
1,2019110301004027,ILBS,39,44,10,438,4380.00,2019-11-03 23:25:28.979655
2,2019110301004028,RHPL,55,43,40,171,6840.00,2019-11-03 23:25:28.979655
3,2019110301004029,MEGA,34,13,500,190,95000.00,2019-11-03 23:25:28.979655
4,2019110301004030,MEGA,47,13,500,190,95000.00,2019-11-03 23:25:28.979655
5,2019110301004031,PRVU,36,53,850,267,226950.00,2019-11-03 23:25:28.979655
6,2019110301004032,PRVU,38,53,55,267,14685.00,2019-11-03 23:25:28.979655
7,2019110301004033,PRVU,22,53,95,267,25365.00,2019-11-03 23:25:28.979655
8,2019110301004034,SABSL,32,34,10,450,4500.00,2019-11-03 23:25:28.979655
9,2019110301004035,UNHPL,21,42,100,55,5500.00,2019-11-03 23:25:28.979655
10,2019110301004036,UNHPL,21,56,50,55,2750.00,2019-11-03 23:25:28.979655
11,2019110301004037,SJCL,10,43,20,168,3360.00,2019-11-03 23:25:28.979655
12,2019110301004038,JFL,32,32,500,192,96000.00,2019-11-03 23:25:28.979655
13,2019110301004039,CCBL,45,34,27,155,4185.00,2019-11-03 23:25:28.979655
14,2019110301004040,SKBBL,50,52,20,932,18640.00,2019-11-03 23:25:28.979655
15,2019110301004041,SJCL,16,40,10,167,1670.00,2019-11-03 23:25:28.979655
16,2019110301004042,NTC,59,44,10,633,6330.00,2019-11-03 23:25:28.979655
17,2019110301004043,SHL,32,58,200,208,41600.00,2019-11-03 23:25:28.979655
18,2019110301004044,NIB,45,45,44,442,19448.00,2019-11-03 23:25:28.979655
19,2019110301004045,NABIL,44,49,100,754,75400.00,2019-11-03 23:25:28.979655
20,2019110301004046,NABIL,7,49,50,753,37650.00,2019-11-03 23:25:28.979655
21,2019110301004047,NABIL,44,49,21,753,15813.00,2019-11-03 23:25:28.979655
22,2019110301004048,NABIL,35,49,29,752,21808.00,2019-11-03 23:25:28.979655
23,2019110301004049,SABSL,32,34,10,450,4500.00,2019-11-03 23:25:28.979655
24,2019110301004050,SJCL,16,40,10,167,1670.00,2019-11-03 23:25:28.979655
25,2019110301004051,SJCL,10,40,10,169,1690.00,2019-11-03 23:25:28.979655
26,2019110301004052,NLICL,25,42,10,432,4320.00,2019-11-03 23:25:28.979655
27,2019110301004053,SHIVM,42,37,100,485,48500.00,2019-11-03 23:25:28.979655
28,2019110301004054,SHIVM,50,37,79,484,38236.00,2019-11-03 23:25:28.979655
29,2019110301004055,SHIVM,35,37,200,484,96800.00,2019-11-03 23:25:28.979655
30,2019110301004056,SHIVM,57,37,200,484,96800.00,2019-11-03 23:25:28.979655
31,2019110301004057,SHIVM,32,37,120,484,58080.00,2019-11-03 23:25:28.979655
32,2019110301004058,SHIVM,34,37,301,484,145684.00,2019-11-03 23:25:28.979655
33,2019110301004059,AKBSL,43,58,10,410,4100.00,2019-11-03 23:25:28.979655
34,2019110301004060,NICA,43,39,20,405,8100.00,2019-11-03 23:25:28.979655
35,2019110301004061,NABIL,58,53,20,759,15180.00,2019-11-03 23:25:28.979655
36,2019110301004062,NABIL,58,42,10,760,7600.00,2019-11-03 23:25:28.979655
37,2019110301004063,PRIN,49,50,100,310,31000.00,2019-11-03 23:25:28.979655
38,2019110301004064,SJCL,16,40,20,167,3340.00,2019-11-03 23:25:28.979655
39,2019110301004065,SABSL,32,34,10,450,4500.00,2019-11-03 23:25:28.979655
40,2019110301004066,HDL,35,5,100,1453,145300.00,2019-11-03 23:25:28.979655
41,2019110301004067,HDL,35,5,100,1453,145300.00,2019-11-03 23:25:28.979655
